entry_time,exit_time,direction,basis_entry,basis_exit,basis_change,entry_p,exit_p,entry_d,exit_d,pnl_perp,pnl_deliv,pnl_total,capital,entry_z,exit_z
2026-03-16 21:36:00+00:00,2026-03-16 23:04:00+00:00,short_basis,72223.25,71991.6,-231.65,74607.5,74350.0,2384.25,2358.4,28.9883,-106.7988,-77.8106,9922.1894,0.9058,0.3994
2026-03-17 00:10:00+00:00,2026-03-17 02:19:00+00:00,short_basis,72820.56,72761.37,-59.19,75192.2,75122.0,2371.64,2360.63,5.0298,-47.5297,-42.4998,9879.6896,0.5215,0.4593
2026-03-17 09:55:00+00:00,2026-03-17 11:19:00+00:00,long_basis,71485.2,71631.71,146.51,73813.1,73976.3,2327.9,2344.59,16.9974,-71.0456,-54.0482,9825.6414,-0.6652,-0.4496
2026-03-17 14:45:00+00:00,2026-03-17 15:33:00+00:00,short_basis,71958.45,71581.89,-376.56,74319.2,73914.0,2360.75,2332.11,47.1587,-116.9757,-69.8171,9755.8243,0.6207,0.1081
2026-03-17 22:32:00+00:00,2026-03-18 01:31:00+00:00,long_basis,71891.73,71768.0,-123.73,74232.0,74116.0,2340.27,2348.0,-18.1901,-34.3199,-52.51,9703.3144,-0.5338,-0.3079
2026-03-18 11:29:00+00:00,2026-03-18 17:24:00+00:00,long_basis,71246.14,69254.43,-1991.71,73555.9,71459.4,2309.76,2204.97,-266.4242,414.5249,148.1008,9851.4152,-0.5706,-0.4793
2026-03-18 20:05:00+00:00,2026-03-18 20:33:00+00:00,long_basis,68542.27,68968.87,426.6,70730.1,71163.1,2187.83,2194.23,53.55,-31.1207,22.4293,9873.8445,-0.7787,-0.487
2026-03-19 03:18:00+00:00,2026-03-19 03:55:00+00:00,short_basis,69188.04,68965.29,-222.75,71418.8,71190.1,2230.76,2224.81,26.2854,-28.7713,-2.4859,9871.3586,0.8799,0.3583
2026-03-19 04:07:00+00:00,2026-03-19 06:08:00+00:00,long_basis,68495.8,68680.55,184.75,70706.7,70883.8,2210.9,2203.25,19.7376,28.6973,48.4348,9919.7934,-0.7432,-0.4856
2026-03-19 07:01:00+00:00,2026-03-19 09:21:00+00:00,long_basis,68137.26,68129.17,-8.09,70322.5,70317.2,2185.24,2188.03,-4.4798,-15.8013,-20.2811,9899.5123,-0.8564,-0.2661
2026-03-19 12:06:00+00:00,2026-03-19 13:49:00+00:00,long_basis,67436.32,67689.72,253.4,69604.0,69841.0,2167.68,2151.28,28.2604,67.39,95.6504,9995.1627,-0.7395,-0.1794
2026-03-19 19:06:00+00:00,2026-03-19 22:05:00+00:00,short_basis,68003.62,68121.2,117.58,70161.2,70279.2,2157.58,2158.0,-19.7679,-1.9498,-21.7177,9973.445,0.5981,0.471
2026-03-20 03:30:00+00:00,2026-03-20 05:31:00+00:00,short_basis,68608.48,68381.25,-227.23,70776.7,70533.3,2168.22,2152.05,28.7937,-74.4502,-45.6565,9927.7885,0.5558,0.2611
2026-03-20 08:09:00+00:00,2026-03-20 09:13:00+00:00,short_basis,68948.18,68656.39,-291.79,71127.1,70826.5,2178.92,2170.11,36.0868,-41.9064,-5.8196,9921.9689,0.6675,0.4606
2026-03-20 13:35:00+00:00,2026-03-20 16:04:00+00:00,long_basis,67780.35,67867.83,87.48,69919.0,70019.3,2138.65,2151.47,9.7512,-60.2731,-50.5219,9871.447,-0.669,-0.4014
2026-03-20 19:55:00+00:00,2026-03-20 20:30:00+00:00,short_basis,67970.6,67737.46,-233.14,70116.2,69877.6,2145.6,2140.14,28.161,-27.6154,0.5456,9871.9926,0.7129,0.315
2026-03-20 21:18:00+00:00,2026-03-21 00:10:00+00:00,short_basis,68380.67,68300.7,-79.97,70542.8,70457.5,2162.13,2156.8,7.5889,-26.8706,-19.2817,9852.7109,0.567,0.466
2026-03-21 07:25:00+00:00,2026-03-21 07:44:00+00:00,short_basis,68652.04,68546.32,-105.72,70823.9,70717.2,2171.86,2170.88,10.3574,-7.9675,2.3899,9855.1008,0.9528,0.4134
2026-03-21 08:23:00+00:00,2026-03-21 09:04:00+00:00,long_basis,68360.02,68484.05,124.03,70525.5,70651.5,2165.48,2167.45,12.9817,-12.2621,0.7196,9855.8204,-0.7927,-0.3712
2026-03-21 13:19:00+00:00,2026-03-21 14:52:00+00:00,short_basis,68604.71,68471.26,-133.45,70776.0,70635.2,2171.29,2163.94,14.8814,-35.4399,-20.5585,9835.2619,0.6001,-0.3385
2026-03-21 16:28:00+00:00,2026-03-21 18:35:00+00:00,long_basis,68204.44,68273.11,68.67,70363.2,70437.9,2158.76,2164.79,6.182,-29.8363,-23.6543,9811.6076,-0.6261,-0.4869
2026-03-21 23:02:00+00:00,2026-03-22 02:28:00+00:00,long_basis,68034.6,67213.64,-820.96,70194.4,69333.0,2159.8,2119.36,-118.1126,170.7981,52.6854,9864.293,-0.5684,-0.292
2026-03-22 07:39:00+00:00,2026-03-22 12:23:00+00:00,long_basis,66852.15,66498.2,-353.95,68963.4,68591.2,2111.25,2093.0,-54.3248,77.2567,22.932,9887.225,-0.6014,-0.3295
2026-03-22 18:34:00+00:00,2026-03-22 22:22:00+00:00,long_basis,66397.96,66086.02,-311.94,68478.3,68146.2,2080.34,2060.18,-49.3098,87.2665,37.9567,9925.1817,-0.5728,-0.3311
2026-03-23 00:40:00+00:00,2026-03-23 01:08:00+00:00,long_basis,65402.45,65818.71,416.26,67450.9,67884.3,2048.45,2065.59,56.8132,-82.6662,-25.853,9899.3286,-0.7465,-0.4628
2026-03-23 03:02:00+00:00,2026-03-23 03:33:00+00:00,short_basis,66438.51,66049.73,-388.78,68521.0,68114.6,2082.49,2064.87,52.0158,-83.3323,-31.3165,9868.0121,0.7212,0.418
2026-03-23 05:00:00+00:00,2026-03-23 06:32:00+00:00,short_basis,66553.95,66361.63,-192.32,68633.8,68426.5,2079.85,2064.87,24.565,-71.2699,-46.7049,9821.3072,0.6345,0.4784
2026-03-23 07:05:00+00:00,2026-03-23 07:38:00+00:00,long_basis,65468.39,66090.49,622.1,67502.6,68146.3,2034.21,2055.81,85.2404,-102.8041,-17.5637,9803.7435,-0.7638,-0.391
2026-03-23 11:05:00+00:00,2026-03-23 15:21:00+00:00,short_basis,67801.1,68825.03,1023.93,69941.1,71003.6,2140.0,2178.57,-145.211,164.1362,18.9252,9822.6688,0.5265,0.4975
2026-03-23 23:19:00+00:00,2026-03-23 23:41:00+00:00,long_basis,68269.2,68583.29,314.09,70423.2,70745.8,2154.0,2162.51,39.014,-40.5995,-1.5855,9821.0832,-0.5001,-0.2341
2026-03-24 01:44:00+00:00,2026-03-24 02:35:00+00:00,long_basis,68216.82,68428.29,211.47,70358.3,70581.1,2141.48,2152.81,25.8129,-53.0947,-27.2818,9793.8014,-0.8284,-0.481
2026-03-24 05:04:00+00:00,2026-03-24 06:05:00+00:00,long_basis,68027.62,68233.13,205.51,70170.5,70380.0,2142.88,2146.87,24.0566,-21.0457,3.0109,9796.8123,-0.7096,-0.3526
2026-03-24 07:09:00+00:00,2026-03-24 11:02:00+00:00,short_basis,68589.49,68851.4,261.91,70759.1,71016.2,2169.61,2164.8,-37.5393,-24.3562,-61.8955,9734.9168,0.6594,0.4168
2026-03-24 13:09:00+00:00,2026-03-24 18:32:00+00:00,long_basis,68526.1,67378.29,-1147.81,70690.1,69510.6,2164.0,2132.31,-158.0097,131.7326,-26.2771,9708.6397,-0.5539,-0.484
2026-03-24 20:26:00+00:00,2026-03-25 02:00:00+00:00,short_basis,68076.62,68411.95,335.33,70241.8,70579.5,2165.18,2167.55,-48.0315,6.4064,-41.6251,9667.0146,0.5908,0.354
2026-03-25 05:06:00+00:00,2026-03-25 07:44:00+00:00,short_basis,68905.14,68841.0,-64.14,71086.3,71023.0,2181.16,2182.0,4.5043,-0.1367,4.3676,9671.3822,1.0599,0.4643
2026-03-25 08:33:00+00:00,2026-03-25 09:45:00+00:00,short_basis,69263.91,68985.98,-277.93,71466.6,71178.4,2202.69,2192.42,33.3761,-46.5131,-13.137,9658.2453,0.7588,0.4254
2026-03-25 11:20:00+00:00,2026-03-25 12:17:00+00:00,short_basis,69486.33,69223.25,-263.08,71687.4,71416.6,2201.07,2193.35,30.9898,-35.8516,-4.8618,9653.3835,0.5203,0.3302
2026-03-25 15:07:00+00:00,2026-03-25 16:27:00+00:00,long_basis,68828.0,69329.11,501.11,71004.0,71515.0,2176.0,2185.89,62.3313,-45.3495,16.9818,9670.3653,0.8534,0.4791
2026-03-25 22:36:00+00:00,2026-03-26 00:54:00+00:00,short_basis,69063.52,69016.05,-47.47,71248.2,71187.7,2184.68,2171.65,4.1262,-58.4675,-54.3413,9616.024,0.5358,0.4949
2026-03-26 02:30:00+00:00,2026-03-26 09:08:00+00:00,long_basis,68664.77,67941.9,-722.87,70826.6,70071.9,2161.83,2130.0,-100.9954,130.8496,29.8542,9645.8782,-0.5429,-0.3958
2026-03-26 11:26:00+00:00,2026-03-26 13:07:00+00:00,long_basis,67132.7,67376.8,244.1,69206.7,69462.8,2074.0,2086.0,30.2445,-56.6852,-26.4407,9619.4375,-0.5774,-0.4436
2026-03-26 15:12:00+00:00,2026-03-26 17:30:00+00:00,long_basis,67013.18,67010.56,-2.62,69088.5,69087.3,2075.32,2076.74,-3.8141,-9.9082,-13.7223,9605.7152,-0.5895,-0.4981
2026-03-26 18:03:00+00:00,2026-03-26 19:41:00+00:00,long_basis,66290.54,66571.68,281.14,68348.5,68628.6,2057.96,2056.92,33.7469,0.9614,34.7083,9640.4235,-0.5046,-0.47
2026-03-27 04:02:00+00:00,2026-03-27 05:09:00+00:00,long_basis,66445.74,66610.28,164.54,68504.1,68676.6,2058.36,2066.32,19.3984,-39.0803,-19.6819,9620.7415,-0.7401,-0.4613
2026-03-27 08:28:00+00:00,2026-03-27 15:23:00+00:00,long_basis,66171.34,64397.32,-1774.02,68233.9,66404.2,2062.56,2006.88,-248.7381,243.0757,-5.6624,9615.0791,-1.4126,-0.2125
2026-03-27 23:45:00+00:00,2026-03-28 01:11:00+00:00,short_basis,64278.24,64171.5,-106.74,66277.8,66164.0,1999.56,1992.5,12.03,-35.905,-23.8749,9591.2042,0.6367,0.3207
2026-03-28 06:18:00+00:00,2026-03-28 08:44:00+00:00,short_basis,64427.75,64371.99,-55.76,66442.1,66380.8,2014.35,2008.81,4.7618,-28.7041,-23.9423,9567.2619,0.6559,0.4301
2026-03-28 10:26:00+00:00,2026-03-28 11:29:00+00:00,long_basis,64163.24,64277.63,114.39,66167.5,66282.7,2004.26,2005.07,12.1885,-7.3087,4.8798,9572.1417,-0.5323,-0.4653
2026-03-28 13:32:00+00:00,2026-03-28 16:53:00+00:00,short_basis,64599.67,64810.72,211.05,66611.7,66840.1,2012.03,2029.38,-34.8176,74.7773,39.9598,9612.1015,0.5133,0.4694
2026-03-28 21:53:00+00:00,2026-03-29 01:07:00+00:00,long_basis,64601.85,64534.03,-67.82,66618.8,66547.3,2016.95,2013.27,-13.4532,13.0082,-0.445,9611.6565,-0.5673,-0.3684
2026-03-29 03:16:00+00:00,2026-03-29 04:56:00+00:00,short_basis,65019.87,64706.32,-313.55,67043.5,66720.3,2023.63,2013.98,40.3662,-47.1954,-6.8292,9604.8273,0.529,0.4583
2026-03-29 10:11:00+00:00,2026-03-29 11:04:00+00:00,long_basis,64466.81,64646.69,179.88,66469.9,66655.3,2003.09,2008.61,21.8008,-28.7948,-6.9941,9597.8332,-0.6836,0.4865
2026-03-29 11:38:00+00:00,2026-03-29 12:34:00+00:00,short_basis,64850.41,64685.9,-164.51,66863.4,66691.8,2012.99,2005.9,19.7533,-35.7617,-16.0083,9581.8248,0.6046,0.4394
2026-03-29 17:21:00+00:00,2026-03-29 18:36:00+00:00,long_basis,64260.85,64412.2,151.35,66259.3,66415.2,1998.45,2003.0,17.7765,-24.3659,-6.5894,9575.2355,-0.6051,-0.4673
2026-03-29 20:23:00+00:00,2026-03-29 22:01:00+00:00,short_basis,64693.86,64431.1,-262.76,66710.5,66436.1,2016.64,2005.0,33.7779,-56.1432,-22.3653,9552.8701,0.6109,-0.1209
2026-03-29 22:41:00+00:00,2026-03-30 00:18:00+00:00,long_basis,63814.49,64175.79,361.3,65797.9,66176.0,1983.41,2000.21,48.5196,-80.4996,-31.98,9520.8902,-0.9577,-0.331
2026-03-30 02:49:00+00:00,2026-03-30 06:18:00+00:00,short_basis,65249.7,65227.65,-22.05,67295.8,67280.1,2046.1,2052.45,-1.5078,24.4524,22.9446,9543.8348,0.522,0.331
2026-03-30 08:05:00+00:00,2026-03-30 09:09:00+00:00,short_basis,65765.55,65504.18,-261.37,67836.7,67573.7,2071.15,2069.52,31.5243,-10.7621,20.7622,9564.597,0.5466,0.4185
2026-03-30 12:23:00+00:00,2026-03-30 13:41:00+00:00,short_basis,65868.43,65629.69,-238.74,67949.9,67705.6,2081.47,2075.91,29.0336,-27.906,1.1277,9565.7247,0.8139,0.3793
2026-03-30 14:36:00+00:00,2026-03-30 14:56:00+00:00,long_basis,65055.72,65594.17,538.45,67113.1,67672.3,2057.38,2078.13,72.0834,-95.2876,-23.2042,9542.5205,-0.5804,0.2948
2026-03-30 17:23:00+00:00,2026-03-30 20:54:00+00:00,long_basis,64827.24,64592.5,-234.74,66883.5,66625.8,2056.26,2033.3,-38.5548,97.5972,59.0423,9601.5628,-0.541,-0.4998
2026-03-31 00:45:00+00:00,2026-03-31 03:48:00+00:00,short_basis,65053.77,65540.78,487.01,67099.3,67615.3,2045.53,2074.52,-73.7937,125.6244,51.8307,9653.3935,0.5766,0.4974
2026-03-31 07:17:00+00:00,2026-03-31 08:09:00+00:00,long_basis,65080.96,65399.31,318.35,67133.9,67465.4,2052.94,2066.09,41.6158,-62.4109,-20.7951,9632.5984,-0.5957,-0.3256
2026-03-31 08:39:00+00:00,2026-03-31 11:16:00+00:00,long_basis,64960.34,64629.98,-330.36,67014.7,66673.9,2054.36,2043.92,-50.1972,42.8437,-7.3535,9625.2449,-0.5718,-0.4164
2026-03-31 13:46:00+00:00,2026-03-31 14:49:00+00:00,short_basis,65112.75,64811.68,-301.07,67190.8,66878.0,2078.05,2066.32,38.9113,-55.2728,-16.3615,9608.8834,0.6533,0.3744
2026-03-31 16:40:00+00:00,2026-03-31 17:56:00+00:00,short_basis,65549.95,65322.89,-227.06,67646.5,67424.1,2096.55,2101.21,26.36,16.6384,42.9984,9651.8818,0.6423,0.4324
2026-04-01 01:35:00+00:00,2026-04-01 03:08:00+00:00,long_basis,65715.06,65849.43,134.37,67814.0,67959.6,2098.94,2110.17,16.0192,-52.7263,-36.7071,9615.1747,-0.6705,-0.2663
2026-04-01 05:25:00+00:00,2026-04-01 07:57:00+00:00,short_basis,66507.17,66511.33,4.16,68647.6,68650.0,2140.43,2138.67,-3.9731,-11.1647,-15.1378,9600.0369,0.5727,0.4934
2026-04-01 12:36:00+00:00,2026-04-01 12:45:00+00:00,long_basis,66151.3,66422.41,271.11,68283.3,68567.9,2132.0,2145.49,34.3637,-61.3541,-26.9904,9573.0465,0.6859,0.056
2026-04-01 13:02:00+00:00,2026-04-01 13:19:00+00:00,long_basis,66071.37,66336.71,265.34,68198.5,68477.5,2127.13,2140.79,33.5674,-62.0401,-28.4727,9544.5738,-0.614,-0.4409
2026-04-01 13:42:00+00:00,2026-04-01 14:22:00+00:00,long_basis,66040.16,66250.95,210.79,68165.0,68384.3,2124.84,2133.35,25.5445,-39.9417,-14.3973,9530.1765,-0.6061,-0.3978
2026-04-01 15:53:00+00:00,2026-04-01 16:16:00+00:00,short_basis,66769.12,66439.24,-329.88,68915.3,68573.6,2146.18,2134.36,41.269,-53.4842,-12.2152,9517.9613,0.828,0.4987
2026-04-02 00:44:00+00:00,2026-04-02 01:03:00+00:00,short_basis,66333.08,66034.49,-298.59,68494.3,68183.2,2161.22,2148.71,37.4521,-55.9559,-18.5038,9499.4575,1.1933,-0.0417
2026-04-02 01:05:00+00:00,2026-04-02 01:08:00+00:00,long_basis,65601.52,65989.42,387.9,67735.4,68140.8,2133.88,2151.38,50.4022,-77.6198,-27.2176,9472.24,-1.5684,-0.3813
2026-04-02 01:15:00+00:00,2026-04-02 05:56:00+00:00,long_basis,65712.89,64531.03,-1181.86,67853.9,66589.2,2141.01,2058.17,-171.3211,344.5756,173.2546,9645.4945,-0.5598,-0.4486
2026-04-02 13:19:00+00:00,2026-04-02 13:57:00+00:00,long_basis,63850.67,64126.7,276.03,65880.9,66171.0,2030.23,2044.3,36.684,-67.1687,-30.4846,9615.0099,-0.8055,-0.367
2026-04-02 14:36:00+00:00,2026-04-02 17:49:00+00:00,short_basis,64695.35,64713.58,18.23,66766.3,66772.7,2070.95,2059.12,-4.5293,-55.8318,-60.3611,9554.6488,0.508,0.357
2026-04-03 00:47:00+00:00,2026-04-03 01:26:00+00:00,long_basis,64641.28,64763.76,122.48,66700.7,66829.3,2059.42,2065.54,13.8697,-30.6047,-16.7351,9537.9137,-0.8078,-0.4482
2026-04-03 01:36:00+00:00,2026-04-03 03:17:00+00:00,long_basis,64567.98,64583.2,15.22,66626.3,66647.8,2058.32,2064.6,-0.7005,-31.2699,-31.9703,9505.9434,-0.7652,-0.4593
2026-04-03 07:09:00+00:00,2026-04-03 09:08:00+00:00,short_basis,64770.37,64790.26,19.89,66845.0,66860.0,2074.63,2069.74,-5.6387,-24.8979,-30.5366,9475.4067,0.6353,0.4755
2026-04-03 13:08:00+00:00,2026-04-03 14:06:00+00:00,long_basis,64514.81,64687.44,172.63,66566.3,66749.1,2051.49,2061.66,21.119,-48.2251,-27.1061,9448.3007,-0.5439,-0.3606
2026-04-04 04:16:00+00:00,2026-04-04 04:29:00+00:00,long_basis,64688.47,64776.16,87.69,66746.8,66834.6,2058.33,2058.44,8.2167,-4.07,4.1467,9452.4473,-0.5799,-0.1209
2026-04-04 06:07:00+00:00,2026-04-04 08:46:00+00:00,short_basis,64853.04,64869.5,16.46,66914.7,66929.5,2061.66,2060.0,-5.5781,-10.8223,-16.4003,9436.047,0.5588,0.4952
2026-04-04 10:41:00+00:00,2026-04-04 12:42:00+00:00,short_basis,64962.01,64981.64,19.63,67024.2,67038.7,2062.19,2057.06,-5.525,-25.8856,-31.4106,9404.6364,0.5441,0.4632
2026-04-04 15:12:00+00:00,2026-04-04 17:44:00+00:00,short_basis,65296.82,65225.41,-71.41,67362.2,67289.9,2065.38,2064.49,6.0156,-7.4237,-1.4082,9403.2282,0.5348,0.4177
2026-04-04 20:03:00+00:00,2026-04-04 21:41:00+00:00,long_basis,65107.27,65192.05,84.78,67175.9,67269.3,2068.63,2077.25,8.8471,-40.7974,-31.9503,9371.278,-0.6358,-0.4961
2026-04-05 01:07:00+00:00,2026-04-05 03:02:00+00:00,long_basis,65027.61,65095.94,68.33,67092.8,67164.0,2065.19,2068.06,5.8866,-15.9332,-10.0466,9361.2314,-0.5544,-0.3733
2026-04-05 05:51:00+00:00,2026-04-05 08:18:00+00:00,long_basis,64908.63,64810.33,-98.3,66967.6,66857.7,2058.97,2047.37,-18.1518,46.5458,28.394,9389.6254,-0.5978,-0.4965
2026-04-05 12:42:00+00:00,2026-04-05 13:50:00+00:00,long_basis,64659.21,64840.45,181.24,66691.0,66884.4,2031.79,2043.95,22.2998,-56.954,-34.6541,9354.9713,-0.7594,-0.2292
2026-04-05 15:26:00+00:00,2026-04-05 19:38:00+00:00,short_basis,65276.75,65239.58,-37.17,67342.1,67308.0,2065.35,2068.42,0.9453,9.6554,10.6007,9365.572,0.6997,0.2849
2026-04-05 20:37:00+00:00,2026-04-05 21:26:00+00:00,short_basis,65519.45,65346.35,-173.1,67600.7,67414.9,2081.25,2068.55,20.8952,-57.8511,-36.9559,9328.6161,0.6227,0.4918
2026-04-05 21:52:00+00:00,2026-04-05 22:20:00+00:00,short_basis,65596.52,65349.25,-247.27,67670.2,67412.0,2073.68,2062.75,30.2694,-50.2559,-19.9865,9308.6296,0.5611,0.0641
2026-04-05 22:44:00+00:00,2026-04-06 03:19:00+00:00,short_basis,65858.21,66912.43,1054.22,67937.4,69051.4,2079.19,2138.97,-148.5432,250.7186,102.1755,9410.8051,0.5442,0.404
2026-04-06 07:04:00+00:00,2026-04-06 07:23:00+00:00,long_basis,66695.6,66903.05,207.45,68828.8,69048.0,2133.2,2144.95,24.8961,-52.8205,-27.9244,9382.8807,-1.1331,-0.4359
2026-04-06 09:10:00+00:00,2026-04-06 11:30:00+00:00,short_basis,67262.72,67394.38,131.66,69418.3,69554.7,2155.58,2160.32,-21.0801,16.0353,-5.0448,9377.8359,0.5466,0.4396
